word,id,property,object,question,sparql,,,
first,130,releaseDate,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?x rdf:type dbo:Album , dbo:artist res:Elvis_Presley , dbo:releaseDate ?y , dbo:recordLabel ?uri } ORDER BY ASC(?y) OFFSET 0 LIMIT 1,For which label did Elvis record his first album?
  ,158,seasonNumber,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos , dbo:seasonNumber 1 },List all episodes of the first season of the HBO television series The Sopranos!,,
  ,219,activeYearsStartYear,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Royalty , rdf:type yago:WikicatEnglishMonarchs , dbo:activeYearsStartYear ?date } ORDER BY ASC(?date) OFFSET 0 LIMIT 1,Who was the first King of England?,
  ,331,seasonNumber,1,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos , dbo:seasonNumber 1 },List all episodes of the first season of the HBO television series The Sopranos.,,
  ,384,firstAscentPerson,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Mount_Everest dbo:firstAscentPerson ?uri },Who was the first to climb Mount Everest?,,,
  ,409,releaseDate,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Album , dbo:artist <http://dbpedia.org/resource/Queen_(band)> , dbo:releaseDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,What was the first Queen album?,
  ,410,alias,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?name WHERE { res:Queens_of_the_Stone_Age dbo:alias ?name },What was the first name of the band Queens of the Stone Age?,,,
former,95,-,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },In which city was the former Dutch queen Juliana buried?,,,
french,218,-,French_Fifth_Republic,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },when was the founding date of french fifth republic?,,,
  ,285,-,French_Polynesia,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri },Who is the mayor of the capital of French Polynesia?,,,
frequent,52,deathCause,-,SELECT DISTINCT ?x WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . } ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1,What is the most frequent cause of death?,,,
german,17,birthPlace,German,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Monarch , dbo:spouse ?spouse { ?spouse dbo:birthPlace res:Germany } UNION { ?spouse dbo:birthPlace ?p . ?p dbo:country res:Germany } },Which monarchs were married to a German?,,
  ,57,country,German,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> . ?x <http://dbpedia.org/ontology/inflow> ?uri , a <http://dbpedia.org/ontology/Lake> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> },Which rivers flow into a German lake?,
  ,185,breed,German_Shepherd,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/breed> <http://dbpedia.org/resource/German_Shepherd> },Give me all breeds of the German Shepherd dog.,,,
gothic,145,architecturalStyle,English_Gothic_architecture,SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> , <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> , <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> },Show me all English Gothic buildings in Kent.,
greek,163,country,Greece,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> , <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> },Which Greek parties are pro-European?,
heaviest,186,weight,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> , <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,Who is the heaviest player of the Chicago Bulls?,,
heavy,156,mass,-,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> , <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1,How heavy is Jupiter's lightest moon?,,
high,298,height,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Colombo_Lighthouse dbo:height ?num },How high is the lighthouse in Colombo?,,,
  ,304,height,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Yokohama_Marine_Tower dbo:height ?num },How high is the Yokohama Marine Tower?,,,
higher,34,height,[],SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> , <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ) },Show me all basketball players that are higher than 2 meters.,,
  ,174,elevation,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nanga_Parbat> <http://dbpedia.org/ontology/elevation> ?elevation . ?uri a <http://dbpedia.org/ontology/Mountain> { ?uri <http://dbpedia.org/ontology/elevation> ?otherelevation } UNION { ?uri <http://dbpedia.org/property/elevationM> ?otherelevation } FILTER ( ?otherelevation > ?elevation ) },Which mountains are higher than the Nanga Parbat?,,,
highest,16,densityrank,-,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates , dbp:densityrank ?rank } ORDER BY ASC(?rank) LIMIT 1,Which state of the USA has the highest population density?,,
  ,22,densityrank,-,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri dbp:densityrank ?density } ORDER BY ASC(?density) LIMIT 1,Which state of the United States of America has the highest density?,,,
  ,65,highest,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ural_Mountains> <http://dbpedia.org/property/highest> ?uri },What is the highest place of the Urals?,,,
  ,120,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> , <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1,What is the highest mountain?,,
  ,165,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> , <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1,What is the second highest mountain on Earth?,,
  ,201,elevation,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?m WHERE { ?m dbo:mountainRange dbr:Ore_Mountains , dbo:elevation ?height } ORDER BY DESC(?height) LIMIT 1,What is the highest mountain in Saxony Germany?,,
  ,289,elevation,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain , dbo:locatedInArea res:Italy , dbo:elevation ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,What is the highest mountain in Italy?,
  ,400,elevation,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain , dbo:locatedInArea res:Australia , dbo:elevation ?elevation } ORDER BY DESC(?elevation) LIMIT 1,What is the highest mountain in Australia?,
  ,407,budget,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:director res:Tim_Burton , dbo:budget ?b } ORDER BY ?b OFFSET 0 LIMIT 1,Which of Tim Burton's films had the highest budget?,,
himalayan,country,Himalayas-s,[],SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri },To which countries does the Himalayan mountain system extend?,,,
indian,269,location,India,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company , dbo:location res:India , dbo:numberOfEmployees ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,Which Indian company has the most employees?,
large,209,areaTotal,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area },How large is the area of UK?,,,
largest,98,largestmetro,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri },What is the largest metropolitan area in Washington state?,,,
  ,166,largestCity,-,ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large , <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) },Is Egypts largest city also its capital?,,
  ,188,areaTotal,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Country , dbo:areaTotal ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,What is the largest country in the world?,,
  ,189,largestCity,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?lcity WHERE { dbr:United_States dbo:largestCity ?lcity },What is the largest city in america?,,,
  ,284,largestCity,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Canada dbo:largestCity ?city . ?city dbo:populationTotal ?num },How many inhabitants does the largest city in Canada have?,,,
  ,301,largestCity,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Australia dbo:largestCity ?uri },What is the largest city in Australia?,,,
last,88,label,Last Christmas@en,"SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }",Which music albums contain the song Last Christmas?,,,
  ,226,completionDate,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?date WHERE { dbr:Friends dbo:completionDate ?date },When was the last episode of the TV series Friends aired?,,,
  ,236,releaseDate,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?book WHERE { { ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1,What is the last work of Dan Brown?,,,
  ,411,releaseDate,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film , dbo:starring res:Alec_Guinness , dbo:releaseDate ?date } ORDER BY DESC(?date) LIMIT 1,What was the last movie with Alec Guinness?,
  ,412,releaseDate,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Last_Action_Hero dbo:starring ?uri },Give me all actors starring in Last Action Hero.,,,
least,182,budget,-,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Steven_Spielberg> . ?uri <http://dbpedia.org/ontology/budget> ?b . FILTER( xsd:double(?b) >= 8.0E7 ) },Give me all films produced by Steven Spielberg with a budget of at least $80 million.,,,
  ,332,populationTotal,-,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City , dbo:populationTotal ?pop } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1,Which city has the least inhabitants?,,
lightest,156,mass,-,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> , <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1,How heavy is Jupiter's lightest moon?,,,
