"been developed by","125","foundationPlace","California","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }","Which software has been developed by organizations founded in California? [founded_in=dbo:foundationPlace]","","",""
"been married to?","152","spouse","-","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Tom_Cruise> }","Who has Tom Cruise been married to? [married_to=dbo:spouse]","","",""
"been written by","119","author","John_Green_(author)","SELECT ?books WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)> }","What other books have been written by the author of The Fault in Our Stars? [written_by=dbo:author]","","",""
"born in 1945?","43","birthDate","1945","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/President> ; <http://dbpedia.org/ontology/birthDate> ?date FILTER regex(?date, ""^1945"") }","Which presidents were born in 1945? [born_in=dbo:birthDate]","","",""
"born in germany?","82","birthPlace","Germany","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } }","Which actors were born in Germany? [born_in=dbo:birthPlace]","","",""
"born in paris","69","birthPlace","Paris","SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }","Give me all actors who were born in Paris after 1950. [born_in=dbo:birthPlace]","","",""
"born in the","318","birthPlace","-","ASK WHERE { res:Natalie_Portman dbo:birthPlace ?city . ?city dbo:country res:United_States }","Was Natalie Portman born in the United States? [born_in=dbo:birthPlace]","","",""
"born on halloween.[born_on=dbo:birthdate]","79","dbo:birthDate","Halloween","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date }","Show me everyone who was born on Halloween.[born_on=dbo:birthDate]","","",""
"breaking bad? [play_x_in=dbo:portrayer]","204","portrayer","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Gus_Fring dbo:portrayer ?uri }","Who played Gus Fring in Breaking Bad? [play_X_in=dbo:portrayer]","","",""
"buried in the","359","restingPlace","Great_Pyramid_of_Giza","SELECT ?uri WHERE { ?uri dbo:restingPlace dbr:Great_Pyramid_of_Giza }","Who was buried in the Great Pyramid of Giza? [buried_in=dbo:restingPlace]","","",""
"called after benjamin","117","shipNamesake","Benjamin_Franklin","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/shipNamesake> <http://dbpedia.org/resource/Benjamin_Franklin> }","Which ships were called after Benjamin Franklin? [called_after=dbo:shipNamesake]","","",""
"called baldwin. [called=rdf:type]","128","label","-","","Give me all actors called Baldwin. [called=rdf:type]","","",""
"called battle chess?","358","label","Battle Chess@en","ASK WHERE { ?uri rdf:type dbo:VideoGame ; rdfs:label ""Battle Chess""@en }","Is there a video game called Battle Chess? [called=rdfs:label]","","",""
"called mary? [called=rdfs:label]","245","label","Mary","ASK WHERE { res:Abraham_Lincoln dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, ""Mary"") }","Was the wife of president Lincoln called Mary? [called=rdfs:label]","","",""
"called michelle? [called=rdfs:label]","227","label","Michelle","ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, ""Michelle"") }","Is the wife of president Obama called Michelle? [called=rdfs:label]","","",""
"casted in the","133","dbo:starring","Actor","SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?f <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1","Which actor was casted in the most movies? [casted_in=dbo:starring]","","",""
"celebrated around the","148","type","Holiday","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Holiday }","Which holidays are celebrated around the world? [celebrated_around=rdf:type]","","",""
"celebrated around the","305","type","Holiday","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Holiday }","Which holidays are celebrated around the world? [celebrated_around=rdf:type]","","",""
"come from? [come_from=dbo:nationality]","271","nationality","-","SELECT DISTINCT ?uri WHERE { res:Miffy dbo:creator ?x . ?x dbo:nationality ?uri }","Which country does the creator of Miffy come from? [come_from=dbo:nationality]","","",""
"come up with?","258","knownFor","-","SELECT (COUNT(?uri) AS ?count) WHERE { dbr:Albert_Einstein dbo:knownFor ?uri }","How many theories did Albert Einstein come up with? [come_up=dbo:knownFor]","","",""
"composed the music","330","musicComposer","-","SELECT DISTINCT ?uri WHERE { res:Harold_and_Maude dbo:musicComposer ?uri }","Who composed the music for Harold and Maude? [composed_X_for=dbo:musicComposer]","","",""
"composed the soundtrack","259","musicComposer","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> dbo:musicComposer ?uri }","Who composed the soundtrack for Cameron's Titanic? [composed_X_for=dbo:musicComposer]","","",""
"contain the song","88","label","Last Christmas@en","SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }","Which music albums contain the song Last Christmas? [contain=rdfs:label]","","",""
"created batman? [created=dbo:creator]","210","creator","Batman","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Batman dbo:creator ?uri }","Who created Batman? [created=dbo:creator]","","",""
"created by walt","321","creator","-","","Which television shows were created by Walt Disney? [created_by=dbo:creator]","","",""
"created family guy?","365","creator","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Family_Guy dbo:creator ?uri }","Who created Family Guy? [created=dbo:creator]","","",""
"created goofy? [created=dbo:creator]","87","creator","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri }","Who created Goofy? [created=dbo:creator]","","",""
"created the comic","19","creator","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }","Who created the comic Captain America? [created_the_comic=dbo:creator]","","",""
"created wikipedia? [created=dbo:author]","200","author","Wikipedia","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Wikipedia dbo:author ?uri }","Who created Wikipedia? [created=dbo:author]","","",""
"designated within the","68","year","-","SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WorldHeritageSite> . { ?uri <http://dbpedia.org/property/year> '2013'^^xsd:integer . } UNION { ?uri <http://dbpedia.org/property/year> '2014'^^xsd:integer . } }","Give me all world heritage sites designated within the past two years. [designated_within=dbp:year]","","",""
"designed the brooklyn","350","architect","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:architect ?uri }","Who designed the Brooklyn Bridge? [designed=dbo:architect]","","",""
"designed the brooklyn","350","architect","-","","Who designed the Brooklyn Bridge? [designed=dbo:architect]","","",""
"developed by organizations","125","developer","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }","Which software has been developed by organizations founded in California? [developed_by=dbo:developer]","","",""
"developed by organizations","125","foundationPlace","California","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }","Which software has been developed by organizations founded in California? [founded_in=dbo:foundationPlace]","","",""
"developed minecraft? [developed=dbo:developer]","37","developer","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri }","Who developed Minecraft? [developed=dbo:developer]","","",""
"developed skype? [developed=dbo:developer]","2","developer","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Skype dbo:developer ?uri. }","Who developed Skype? [developed=dbo:developer]","","",""
"developed slack? [developed=dbo:product]","241","product","-","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri dbo:product <http://dbpedia.org/resource/Slack_(software)> }","Who developed Slack? [developed=dbo:product]","","",""
"developed the video","232","developer","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:World_of_Warcraft dbo:developer ?uri }","Who developed the video game World of Warcraft? [developed=dbo:developer]","","",""
"did abraham lincoln","7","deathPlace","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. }","Where did Abraham Lincoln die? [die=dbo:deathPlace]","","",""
"did albert einstein","258","knownFor","-","SELECT (COUNT(?uri) AS ?count) WHERE { dbr:Albert_Einstein dbo:knownFor ?uri }","How many theories did Albert Einstein come up with? [come_up=dbo:knownFor]","","",""
"did angela merkel","248","almaMater","-","SELECT DISTINCT ?university WHERE { res:Angela_Merkel dbo:almaMater ?university }","Which university did Angela Merkel attend? [attend=dbo:almaMater]","","",""
"did arnold schwarzenegger","266","almaMater","-","ASK WHERE { res:Arnold_Schwarzenegger dbo:almaMater ?x . ?x rdf:type dbo:University }","Did Arnold Schwarzenegger attend a university? [attend=dbo:almaMater]","","",""
"did boris becker","388","activeYearsEndDate","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?d WHERE { res:Boris_Becker dbo:activeYearsEndDate ?d }","When did Boris Becker end his active career? [end=dbo:activeYearsEndDate]","","",""
"did bruce carver","372","deathCause","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Carver dbo:deathCause ?uri }","What did Bruce Carver die from? [die_from=dbo:Diseases]","","",""
"did douglas hofstadter","221","award","Nobel_Prize_in_Literature","SELECT DISTINCT ?uri WHERE { res:Douglas_Hofstadter dbo:award ?uri }","Which awards did Douglas Hofstadter win? [win=dbo:award]","","",""
"did hal roach","50","producer","Hal_Roach","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> }","How many films did Hal Roach produce? [produce=dbo:producer]","","",""
"did hillel slovak","38","deathPlace","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?uri }","Where did Hillel Slovak die? [die=dbo:deathPlace]","","",""
"did john f.","399","deathPlace","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:deathPlace ?uri . ?uri rdf:type dbo:City }","In which city did John F. Kennedy die? [die_in=dbo:deathPlace]","","",""
"did kaurism??ki ever","309","award","-","ASK WHERE { res:Aki_Kaurism??ki dbo:award <http://dbpedia.org/resource/Grand_Prix_(Cannes_Film_Festival)> }","Did Kaurism??ki ever win the Grand Prix at Cannes? [win=dbo:award]","","",""
"did latvia join","138","accessioneudate","-","SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date }","When did Latvia join the EU? [join=dbp:accessioneudate]","","",""
"did lawrence of","369","battle","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:T._E._Lawrence dbo:battle ?uri }","In which military conflicts did Lawrence of Arabia participate? [participate=dbo:battle]","","",""
"did lou reed","44","genre","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lou_Reed> <http://dbpedia.org/ontology/genre> ?uri }","What kind of music did Lou Reed play? [pay=dbo:genre]","","",""
"did nikos kazantzakis","292","deathPlace","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Nikos_Kazantzakis dbo:deathPlace ?uri . ?uri rdf:type dbo:Town }","In which city did Nikos Kazantzakis die? [die_in=dbo:deathPlace]","","",""
"did operation overlord","356","date","-","SELECT DISTINCT ?d WHERE { res:Operation_Overlord dbo:date ?d }","When did Operation Overlord commence? [commence=dbo:date]","","",""
"did park chan-wook","56","director","Park_Chan-wook","SELECT COUNT(DISTINCT ?uri AS ?uri) WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Park_Chan-wook> . }","How many movies did Park Chan-wook direct? [direct=dbo:director]","","",""
"did pulp fiction","342","budget","-","SELECT DISTINCT ?n WHERE { res:Pulp_Fiction dbo:budget ?n }","How much did Pulp Fiction cost? [cost=dbo:budget]","","",""
"did socrates influence","361","influencedBy","Socrates","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Aristotle dbo:influencedBy res:Socrates }","Did Socrates influence Aristotle? [influence=dbo:influencedBy]","","",""
"did stanley kubrick","282","director","Stanley_Kubrick","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:director res:Stanley_Kubrick }","Which films did Stanley Kubrick direct? [direct=dbo:director]","","",""
"did tesla win","326","award","Nobel_Prize_in_Physics","ASK WHERE { res:Nikola_Tesla dbo:award res:Nobel_Prize_in_Physics }","Did Tesla win a nobel prize in physics? [win=bo:award]","","",""
"did the architect","67","almaMater","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eiffel_Tower> <http://dbpedia.org/ontology/architect> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri }","Where did the architect of the Eiffel Tower study? [study=dbo:almaMater]","","",""
"did the lego","329","budget","The_Lego_Movie","SELECT DISTINCT ?n WHERE { res:The_Lego_Movie dbo:budget ?n }","How much did the Lego Movie cost? [cost=dbo:budget]","","",""
"did the ming","368","dissolutionDate","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?date WHERE { res:Ming_dynasty dbo:dissolutionDate ?date }","When did the Ming dynasty dissolve? [dissolve=dbo:dissolutionDate]","","",""
"did the painter","355","author","-","SELECT DISTINCT ?uri WHERE { res:The_Three_Dancers dbo:author ?person . ?person dbo:movement ?uri }","To which artistic movement did the painter of The Three Dancers belong? [belong=dbo:author]","","",""
"die from? [die_from=dbo:diseases]","372","deathCause","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Carver dbo:deathCause ?uri }","What did Bruce Carver die from? [die_from=dbo:Diseases]","","",""
"directed by francis","213","director","-","","Give me all movies directed by Francis Ford Coppola. [directed_by=dbo:director]","","",""
"directed by garry","63","director","-","","In which films directed by Garry Marshall was Julia Roberts starring? [directed_by=dbo:director]","","",""
"directed by guy","12","starring","-","","Which movies starring Brad Pitt were directed by Guy Ritchie? [starring=dbo:starring]","","",""
"discovered ceres? [discovered=dbo:discoverer","191","discoverer","-","PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> dbo:discoverer ?uri }","Who discovered Ceres? [discovered=dbo:discoverer ]","","",""
"discovered pluto? [discovered=dbo:discoverer","413","discoverer","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?uri WHERE { dbr:Pluto dbo:discoverer ?uri }","Who discovered Pluto? [discovered=dbo:discoverer ]","","",""
"do i need","199","ingredient","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Carrot_cake dbo:ingredient ?uri }","Which ingredients do I need for carrot cake? [need_for=dbo:ingredient]","","",""
"do the red","45","ballpark","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Boston_Red_Sox> <http://dbpedia.org/property/ballpark> ?uri }","Where do the Red Sox play? [play=dbp:ballpark]","","",""
"does air china","8","targetAirport","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Air_China dbo:targetAirport ?uri }","Which airports does Air China serve? [serve=dbo:targetAirport]","","",""
"does an elephant","255","species","-","SELECT ?species WHERE { dbr:Elephant dbp:species ?species }","Which species does an elephant belong? [belong=dbp:species]","","",""
"does cat stevens","126","instrument","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri }","Which instruments does Cat Stevens play? [play=dbo:instrument]","","",""
"does icro stand","159","abbreviation","ICRO","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/abbreviation> ""ICRO"" }","What does ICRO stand for? [stand_fordbo:abbreviation]","","",""
"does iycm stand","322","abbreviation","IYCM","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:abbreviation ""IYCM"" }","What does IYCM stand for? [stand_for=dbo:abbreviation]","","",""
"does neymar play","334","team","","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Neymar dbo:team <http://dbpedia.org/resource/Real_Madrid_C.F.> }","Does Neymar play for Real Madrid?Real_Madrid_C.F. [play_for=dbo:team]","","",""
"does sylvester stallone","377","residence","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City . res:Sylvester_Stallone dbo:residence ?uri }","In which city does Sylvester Stallone live? [live=dbo:residence]","","",""
"does the brooklyn","224","crosses","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:crosses ?uri }","Which river does the Brooklyn Bridge cross? [cross=dbo:crosses]","","",""
"does the chile","366","routeEnd","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Chile_Route_68 dbo:routeEnd ?uri }","In which city does the Chile Route 68 end? [end=dbo:routeEnd]","","",""
"does the creator","271","nationality","-","SELECT DISTINCT ?uri WHERE { res:Miffy dbo:creator ?x . ?x dbo:nationality ?uri }","Which country does the creator of Miffy come from? [come_from=dbo:nationality]","","",""
"does the ganges","395","sourceCountry","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Ganges dbo:sourceCountry ?uri }","In which country does the Ganges start? [start=dbo:sourceCountry]","","",""
"does the himalayan","81","country","-","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri }","To which countries does the Himalayan mountain system extend? [extend_to=dbo:country]","","",""
"does the nile","205","sourceCountry","","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Nile dbo:sourceCountry ?uri }","In which country does the Nile start? [start=dbo:sourceCountry]","","",""
"does yeti airlines","196","targetAirport","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Yeti_Airlines dbo:targetAirport ?uri }","Which airports does Yeti Airlines serve? [serve=dbo:targetAirport]","","",""
"end his active","388","activeYearsEndDate","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?d WHERE { res:Boris_Becker dbo:activeYearsEndDate ?d }","When did Boris Becker end his active career? [end=dbo:activeYearsEndDate]","","",""
"founded in 1930?","150","foundingYear","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> { ?uri <http://dbpedia.org/ontology/formationYear> ?date } UNION { ?uri <http://dbpedia.org/ontology/foundingYear> ?date } FILTER regex(?date, ""^1930"") }","Which organizations were founded in 1930? [found_in=dbo:foundingYear]","","",""
"founded in 1950?","18","formationYear","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Organisation { ?uri dbo:formationYear ?date } UNION { ?uri dbo:foundingYear ?date } UNION { ?uri dbp:foundation ?date } UNION { ?uri dbp:formation ?date } FILTER regex(?date, ""^1950"") }","Which organizations were founded in 1950? [founded_in=dbo:formationYear]","","",""
"founded in california?","125","developer","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }","Which software has been developed by organizations founded in California? [developed_by=dbo:developer]","","",""
"founded in california?","125","foundationPlace","California","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }","Which software has been developed by organizations founded in California? [founded_in=dbo:foundationPlace]","","",""
"founded the vatican","190","foundedBy","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri rdf:type dbo:Pope . res:Vatican_Television_Center dbo:foundedBy ?uri }","Who was the pope that founded the Vatican Television? [founded=dbo:foundedBy]","","",""
"give me all","69","birthPlace","Paris","SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }","Give me all actors who were born in Paris after 1950. [born_in=dbo:birthPlace]","","",""
"give me all","128","label","-","","Give me all actors called Baldwin. [called=rdf:type]","","",""
"give me all","68","year","-","SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WorldHeritageSite> . { ?uri <http://dbpedia.org/property/year> '2013'^^xsd:integer . } UNION { ?uri <http://dbpedia.org/property/year> '2014'^^xsd:integer . } }","Give me all world heritage sites designated within the past two years. [designated_within=dbp:year]","","",""
"give me all","213","director","-","","Give me all movies directed by Francis Ford Coppola. [directed_by=dbo:director]","","",""
"give me all","103","WikicatEatingDisorders","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatEatingDisorders> }","Give me all types of eating disorders.","","",""
