"word","id","property","sparql","sparql"
"largest metropolitan","98","largestmetro","SELECT DISTINCT ?uri WHERE { res:Washington_(state) dbp:largestmetro ?uri }","What is the largest metropolitan area in Washington state?"
"lightest","156","mass","SELECT DISTINCT ?n WHERE { ?uri dbp:satelliteOf res:Jupiter , dbo:mass ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1","How heavy is Jupiter's lightest moon?"
"longest","149","length","SELECT DISTINCT ?uri WHERE { ?uri a dbo:River { ?uri dbo:length ?l } UNION { ?uri dbp:length ?l } } ORDER BY DESC(?l) OFFSET 0 LIMIT 1","What is the longest river?"
"longest","251","length","SELECT ?uri WHERE { ?uri rdf:type dbo:BodyOfWater , dbo:length ?length } ORDER BY DESC(?length) LIMIT 1","What is the longest river in the world?"
"military conflict","369","battle","SELECT DISTINCT ?uri WHERE { res:T._E._Lawrence dbo:battle ?uri }","In which military conflicts did Lawrence of Arabia participate?"
"more episode","338","numberOfEpisodes","ASK WHERE { res:Breaking_Bad dbo:numberOfEpisodes ?x . res:Game_of_Thrones dbo:numberOfEpisodes ?y FILTER ( ?y > ?x ) }","Does Breaking Bad have more episodes than Game of Thrones?"
"net income","93","netIncome","SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni }","What is the net income of Apple?"
"official color","49","officialSchoolColour","SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/University_of_Oxford> <http://dbpedia.org/ontology/officialSchoolColour> ?string }","What is the official color of the University of Oxford?"
"official language","10","officialLanguage","SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri }","What are the official languages of the Philippines?"
"official language","110","officialLanguages","SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/property/officialLanguages> ?language . } ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1","Which country has the most official languages?"
"official language","134","officialLanguage","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> , <http://dbpedia.org/ontology/officialLanguage> ?language } GROUP BY ?uri HAVING ( COUNT(?language) > 2 )","Which countries have more than two official languages?"
"official language","291","officialLanguage","SELECT DISTINCT ?uri WHERE { res:Suriname dbo:officialLanguage ?uri }","What is the official language of Suriname?"
"tall","287","height","SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height }","How tall is Claudia Schiffer?"
"tall","363","height","SELECT DISTINCT ?num WHERE { res:Michael_Jordan dbo:height ?num }","How tall is Michael Jordan?"
"tall","392","height","SELECT DISTINCT ?height WHERE { res:Amazon_Eve dbo:height ?height }","How tall is Amazon Eve?"
"tallest","31","height","SELECT DISTINCT ?uri WHERE { ?uri dbo:team res:Atlanta_Falcons , dbo:height ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1","Who is the tallest player of the Atlanta Falcons?"
"tallest","306","height","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:BasketballPlayer , dbo:height ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the tallest basketball player?"
"total area","278","areaTotal","SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea }","how big is the total area of North Rhine- Westphalia?"
"total area","353","populationTotal","SELECT ?uri WHERE { <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri }","What is the total population of Melbourne, Florida?"
"total population","230","populationTotal","SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop }","how much is the total population of  european union?"
"total population  ","230","populationTotal","SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop }","how much is the total population of  european union?"
